word,book1_count,book2_count,book1_per_10k,book2_per_10k,g2_score,distinctive_to
achieve,5,1,6.72314105149926,0.5837370848169984,7.264148098558325,Book 1
ideals,5,1,6.72314105149926,0.5837370848169984,7.264148098558325,Book 1
rapidly,5,1,6.72314105149926,0.5837370848169984,7.264148098558325,Book 1
hatred,0,10,0.0,5.837370848169985,7.211101907803995,Book 2
religion,0,10,0.0,5.837370848169985,7.211101907803995,Book 2
meditate,0,10,0.0,5.837370848169985,7.211101907803995,Book 2
death,0,10,0.0,5.837370848169985,7.211101907803995,Book 2
immortal,0,10,0.0,5.837370848169985,7.211101907803995,Book 2
jesus,0,10,0.0,5.837370848169985,7.211101907803995,Book 2
when,12,60,16.135538523598225,35.02422508901991,7.065251164092697,Book 2
principle,1,17,1.344628210299852,9.923530441888975,6.924698139750928,Book 2
selfishness,1,17,1.344628210299852,9.923530441888975,6.924698139750928,Book 2
means,6,2,8.067769261799112,1.1674741696339968,6.784584964668163,Book 1
becomes,8,4,10.757025682398815,2.3349483392679935,6.727736586723822,Book 1
could,7,3,9.412397472098965,1.7512112544509952,6.675725911086343,Book 1
human,3,26,4.033884630899556,15.177164205241958,6.628263978704768,Book 2
come,4,30,5.378512841199408,17.512112544509954,6.56280576954033,Book 2
master,15,13,20.169423154497782,7.588582102620979,6.550486479920771,Book 1
night,0,9,0.0,5.253633763352986,6.489991717023596,Book 2
impersonal,0,9,0.0,5.253633763352986,6.489991717023596,Book 2
hast,0,9,0.0,5.253633763352986,6.489991717023596,Book 2
beginning,0,9,0.0,5.253633763352986,6.489991717023596,Book 2
works,0,9,0.0,5.253633763352986,6.489991717023596,Book 2
mankind,0,9,0.0,5.253633763352986,6.489991717023596,Book 2
clinging,0,9,0.0,5.253633763352986,6.489991717023596,Book 2
flesh,0,9,0.0,5.253633763352986,6.489991717023596,Book 2
earth,0,9,0.0,5.253633763352986,6.489991717023596,Book 2
control,11,8,14.790910313298372,4.669896678535987,6.194460297541864,Book 1
long,11,8,14.790910313298372,4.669896678535987,6.194460297541864,Book 1
good,18,18,24.203307785397335,10.507267526705972,6.09256712475602,Book 1
strength,10,7,13.44628210299852,4.086159593718989,5.912506412553912,Book 1
glory,0,8,0.0,4.669896678535987,5.768881526243196,Book 2
striving,0,8,0.0,4.669896678535987,5.768881526243196,Book 2
simplicity,0,8,0.0,4.669896678535987,5.768881526243196,Book 2
humility,0,8,0.0,4.669896678535987,5.768881526243196,Book 2
seek,0,8,0.0,4.669896678535987,5.768881526243196,Book 2
feet,0,8,0.0,4.669896678535987,5.768881526243196,Book 2
pleasure,0,8,0.0,4.669896678535987,5.768881526243196,Book 2
path,0,8,0.0,4.669896678535987,5.768881526243196,Book 2
glorious,0,8,0.0,4.669896678535987,5.768881526243196,Book 2
savior,0,8,0.0,4.669896678535987,5.768881526243196,Book 2
christ,0,8,0.0,4.669896678535987,5.768881526243196,Book 2
they,43,61,57.819013042893644,35.6079621738369,5.712278756882014,Book 1
both,9,6,12.101653892698668,3.5024225089019905,5.645901479917152,Book 1
make,12,10,16.135538523598225,5.837370848169985,5.5741492088476114,Book 1
